date,station,swe_name,lat_name,count,factor
2010-06-12,Stockholm,Gräs,Poaceae,4,1.2
2010-06-12,Stockholm,Ek,Quercus,10,1.2
2010-06-12,Stockholm,Alm,Ulmus,1,1.2
2010-06-13,Stockholm,Björk,Betula,5,1.2
2010-06-13,Stockholm,Gräs,Poaceae,7,1.2
2010-06-13,Stockholm,Ek,Quercus,3,1.2
2010-06-09,Norrköping,Gräs,Poaceae,6,1.2
2010-06-10,Norrköping,Gräs,Poaceae,2,1.2
2010-06-10,Eskilstuna,Björk,Betula,1,1.2
2010-06-10,Eskilstuna,Gräs,Poaceae,4,1.2
2010-06-10,Eskilstuna,Sälg och viden,Salix,1,1.2
2010-06-09,Västervik,Björk,Betula,3,1.25
2010-06-11,Jönköping,Björk,Betula,1,1.2
2010-06-12,Jönköping,Björk,Betula,7,1.2
2010-06-12,Jönköping,Ek,Quercus,2,1.2
2010-06-13,Jönköping,Björk,Betula,3,1.2
2010-06-13,Jönköping,Gräs,Poaceae,2,1.2
2010-06-12,Norrköping,Björk,Betula,3,1.2
2010-06-12,Norrköping,Gräs,Poaceae,13,1.2
2010-06-13,Norrköping,Björk,Betula,5,1.2
2010-06-13,Norrköping,Gräs,Poaceae,11,1.2
2010-06-11,Eskilstuna,Gräs,Poaceae,4,1.2
2010-06-12,Eskilstuna,Björk,Betula,4,1.2
2010-06-12,Eskilstuna,Gräs,Poaceae,2,1.2
2010-06-13,Eskilstuna,Björk,Betula,3,1.2
2010-06-13,Eskilstuna,Gräs,Poaceae,8,1.2
2010-06-13,Eskilstuna,Ek,Quercus,1,1.2
2010-06-11,Västervik,Björk,Betula,1,1.25
2010-06-12,Västervik,Björk,Betula,3,1.25
2010-06-12,Västervik,Gräs,Poaceae,2,1.25
2010-06-12,Västervik,Ek,Quercus,2,1.25
2010-06-12,Västervik,Sälg och viden,Salix,1,1.25
2010-06-13,Västervik,Björk,Betula,1,1.25
2010-06-13,Västervik,Gräs,Poaceae,2,1.25
2010-06-13,Västervik,Sälg och viden,Salix,1,1.25
2010-06-14,Stockholm,Gräs,Poaceae,5,1.2
2010-06-14,Eskilstuna,Alm,Ulmus,2,1.2
2010-06-14,Eskilstuna,Gräs,Poaceae,8,1.2
2010-06-15,Stockholm,Björk,Betula,1,1.2
